synthetic text,labels,waste sorting,studying the product labeling,waste recycling,signing petitions to influence authorities,refusing purchases,exchanging,sharing,participating in actions to promote responsible consumption,repairing
"Дорогие друзья, рад сообщить, что состоялся наш первый выезд мобильного пункта по сбору отходов! Мы успешно начали нашу инициативу по переработке материалов, и теперь каждый может внести свой вклад в экологию, просто принеся ненужные вещи. Вместе мы делаем шаг к более чистому будущему!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Собираем материалы до следующей субботы.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Международный знак в виде ленты Мёбиуса, который часто используется для обозначения возможности переработки, указывает на то, что продукт создан из переработанных материалов или же сам подлежит вторичному использованию в процессе рециклинга.","[0, 1, 0, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0,0
"28 октября, с 11:00 до 12:00, будет организован выездной пункт на улице Малыгина, дом 51.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Конечно, вот более лаконичная версия:

""Не сдавайте: 1. Документы, содержащие личные данные. 2. Файлы с вирусами. 3. Материалы, нарушающие авторские права. 4. Недопустимые по закону материалы. 5. Файлы, которые могут быть опасны для других пользователей.""

Всё это для обеспечения безопасности и соблюдения правил.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Не складывайте разные виды отходов, такие как пластик, стекло и металл, в один мешок. Это потребует дополнительной сортировки в дальнейшем.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Мы оказываем поддержку в сдаче отходов на переработку, чтобы сохранить ресурсы и экологию.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Дорогие друзья, завершился наш последний экомобиль!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Современные технологии требуют обновления: устаревшие устройства - в утиль!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Один день без покупок может стать отличным способом переосмыслить наши потребности и привычки. Это простой шаг, который способен изменить наше восприятие и отношение к вещам.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
ВНИМАНИЕ: НЕ ПРОПУСТИТЕ! РЕГИСТРАЦИЯ!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Зелень можно приобрести на рынке или в супермаркете, где она предлагается без излишних упаковочных материалов, либо же в магазине, где она аккуратно уложена в прозрачные пленки для сохранности.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Вот, как можно перефразировать: ""Кстати, можно купить что-то аппетитное и питательное, не обременяя себя лишними упаковками.""","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
Сбор батареек и люминесцентных ламп состоится 16 и 17 февраля.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Небутылочный ПЭТ больше не принимается.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Другое (O) - это бренд, который специализируется на упаковке для сыра, кофе и кормов для животных. Мы не принимаем заказы.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Теперь вы можете сдать пластиковые отходы по следующим адресам: 
- Улица Пермякова, дом 82;
- Улица Пермякова, дом 84;
- Улица Пермякова, дом 84, корпус 2;
- Проспект 9 Мая, дом 6.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Предлагаем создать экологически чистые материалы для творчества, такие как самодельная глина, клей, мыльная основа, которые можно будет приобрести в специализированных местах, где товары продаются поштучно или на вес, и клиенты могут использовать свои контейнеры для упаковки.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Расписание экомобилей на 23 августа:
- 9:00 - 9:20: Восточный микрорайон, остановка ""Восточный 2"", Антон, телефон: 89222508436.
- 9:00 - 9:30: Широтная улица, возле Мегамарта (Розы Трениной, 3), Ренат, контакт: 89220074688.
- 9:15 - 9:45: Теннисный центр СДЮСШОР №1, улица Н.Федорова, 8, Елена, номер: 89199547901.
- 9:10 - 10:05: Торгово-экономический колледж при ТюмГНГУ, улица Киевская, 63, рядом с ""Нефтегазовым университетом"", Камиля, телефон: 89224718424.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Школа №94 активно участвует в общероссийском проекте ""ЭкоДесант"", цель которого — повысить экологическую осведомленность граждан и развить практику сбора отходов для переработки.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"""КРУГОВОРОТ"" приглашает к себе тех, кто хочет стать частью дружной команды и поддержать наши начинания! Вместе мы сможем больше!","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Когда мы сдаём вторичные материалы, они проходят через этапы сортировки и аккумулируются на складах. Затем, в виде плотных тюков, их грузят на большие грузовики, которые доставляют их на перерабатывающие предприятия.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Отлично, что в инициативе по раздельному сбору мусора участвуют не только отдельные люди, но и целые семьи, а также такие проекты, как «Чистая кухня» и паб-маркет «Дзержинский», которые поддерживают нашу идею!","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Продолжайте активно участвовать в системе раздельного сбора мусора.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"С удовольствием сообщаем, что с наступлением апреля, в рамках лекции «Забота о здоровом младенце» (одна из ключевых тем в нашей школе для родителей), Перинатальный центр на Энергетиков, 26 предоставляет нам возможность провести 20-минутный сегмент, посвященный использованию и преимуществам многоразовых подгузников.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
